id, name, shortName, colorId, professor, eventType, groups, classroom, start, end, description, recurring, recurringType, recurringUntil, studyCode
532917,Komunikacijski sustavi,KS,0,Radić Joško,PREDAVANJE,,A104,2024-02-26T09:15,2024-02-26T12:00,ponedjeljak 26.2.2024. 9:15 - 12:00 (3 sata),true,WEEKLY,do 9.6.2024.,512
532929,Komunikacijski sustavi,KS,0,Radić Joško,AUDITORNA_VJEZBA,,A104,2024-02-27T08:15,2024-02-27T10:00,utorak 27.2.2024. 8:15 - 10:00 (2 sata),true,WEEKLY,do 9.6.2024.,512
533025,Digitalna tehnika,DT,0,Čoko Duje,PREDAVANJE,,C501,2024-02-27T11:15,2024-02-27T14:00,utorak 27.2.2024. 11:15 - 14:00 (3 sata),true,WEEKLY,do 9.6.2024.,512
532977,Multimedija,Multimedija,0,Russo Mladen,PREDAVANJE,,A302,2024-02-28T12:15,2024-02-28T14:00,srijeda 28.2.2024. 12:15 - 14:00 (2 sata),true,WEEKLY,do 9.6.2024.,512
533001,Programiranje za internet,PZI,0,Šerić Ljiljana,PREDAVANJE,,A106,2024-02-29T08:15,2024-02-29T10:00,četvrtak 29.2.2024. 8:15 - 10:00 (2 sata),true,WEEKLY,do 9.6.2024.,512
533049,Trgovačko pravo,TP,0,Ćesić Zlatko,PREDAVANJE,,A106,2024-02-29T10:15,2024-02-29T12:00,četvrtak 29.2.2024. 10:15 - 12:00 (2 sata),true,WEEKLY,do 9.6.2024.,512
533037,Digitalna tehnika,DT,0,Kristić Ante,AUDITORNA_VJEZBA,,C501,2024-03-01T13:15,2024-03-01T15:00,petak 1.3.2024. 13:15 - 15:00 (2 sata),true,WEEKLY,do 9.6.2024.,512
532918,Komunikacijski sustavi,KS,0,Radić Joško,PREDAVANJE,,A104,2024-03-04T09:15,2024-03-04T12:00,ponedjeljak 4.3.2024. 9:15 - 12:00 (3 sata),true,WEEKLY,do 9.6.2024.,512
532930,Komunikacijski sustavi,KS,0,Radić Joško,AUDITORNA_VJEZBA,,A104,2024-03-05T09:15,2024-03-05T11:00,utorak 5.3.2024. 9:15 - 11:00 (2 sata),true,WEEKLY,do 9.6.2024.,512
533026,Digitalna tehnika,DT,0,Čoko Duje,PREDAVANJE,,C501,2024-03-05T11:15,2024-03-05T14:00,utorak 5.3.2024. 11:15 - 14:00 (3 sata),true,WEEKLY,do 9.6.2024.,512
