id, name, shortName, colorId, professor, eventType, groups, classroom, start, end, description, recurring, recurringType, recurringUntil, studyCode
532053,Kriptografija i mrežna sigurnost,KIMS,0,Čagalj Mario,PREDAVANJE,,C501,2024-02-26T10:15,2024-02-26T12:00,ponedjeljak 26.2.2024. 10:15 - 12:00 (2 sata),true,WEEKLY,do 9.6.2024.,250
532137,Podržano strojno učenje,PSU,0,Vasilj Josip,PREDAVANJE,,A243,2024-02-27T08:15,2024-02-27T10:00,utorak 27.2.2024. 8:15 - 10:00 (2 sata),true,WEEKLY,do 9.6.2024.,250
532077,Metode optimizacije,MO,0,Marasović Jadranka,PREDAVANJE,,C502,2024-02-27T10:15,2024-02-27T12:00,utorak 27.2.2024. 10:15 - 12:00 (2 sata),true,WEEKLY,do 9.6.2024.,250
532113,IP komunikacije,IK,0,Russo Mladen,PREDAVANJE,,A105,2024-02-27T12:15,2024-02-27T14:00,utorak 27.2.2024. 12:15 - 14:00 (2 sata),true,WEEKLY,do 9.6.2024.,250
532065,Jezici i prevoditelji,JIP,0,Sikora Marjan,PREDAVANJE,,B401,2024-02-28T08:15,2024-02-28T11:00,srijeda 28.2.2024. 8:15 - 11:00 (3 sata),true,WEEKLY,do 9.6.2024.,250
532089,Napredne računalne arhitekture,NRA,0,Gotovac Sven,PREDAVANJE,,B401,2024-02-28T11:15,2024-02-28T13:00,srijeda 28.2.2024. 11:15 - 13:00 (2 sata),true,WEEKLY,do 9.6.2024.,250
532054,Kriptografija i mrežna sigurnost,KIMS,0,Čagalj Mario,PREDAVANJE,,C501,2024-03-04T10:15,2024-03-04T12:00,ponedjeljak 4.3.2024. 10:15 - 12:00 (2 sata),true,WEEKLY,do 9.6.2024.,250
532138,Podržano strojno učenje,PSU,0,Perković Toni,PREDAVANJE,,A243,2024-03-05T08:15,2024-03-05T10:00,utorak 5.3.2024. 8:15 - 10:00 (2 sata),true,WEEKLY,do 9.6.2024.,250
532078,Metode optimizacije,MO,0,Braović Maja,PREDAVANJE,,C502,2024-03-05T10:15,2024-03-05T12:00,utorak 5.3.2024. 10:15 - 12:00 (2 sata),true,WEEKLY,do 9.6.2024.,250
532114,IP komunikacije,IK,0,Russo Mladen,PREDAVANJE,,A105,2024-03-05T12:15,2024-03-05T14:00,utorak 5.3.2024. 12:15 - 14:00 (2 sata),true,WEEKLY,do 9.6.2024.,250
532066,Jezici i prevoditelji,JIP,0,Sikora Marjan,PREDAVANJE,,B401,2024-03-06T08:15,2024-03-06T11:00,srijeda 6.3.2024. 8:15 - 11:00 (3 sata),true,WEEKLY,do 9.6.2024.,250
532090,Napredne računalne arhitekture,NRA,0,Gotovac Sven,PREDAVANJE,,B401,2024-03-06T11:15,2024-03-06T13:00,srijeda 6.3.2024. 11:15 - 13:00 (2 sata),true,WEEKLY,do 9.6.2024.,250
537772,Kriptografija i mrežna sigurnost,KIMS,0,Čagalj Mario,LABORATORIJSKA_VJEZBA,Grupa 4,A507,2024-03-06T13:15,2024-03-06T14:45,srijeda 6.3.2024. 13:15 - 14:45 (2 sata),true,WEEKLY,do 7.6.2024.,250
535589,Jezici i prevoditelji,JIP,0,Sikora Marjan,LABORATORIJSKA_VJEZBA,Grupa 1,B526,2024-03-07T08:30,2024-03-07T10:00,četvrtak 7.3.2024. 8:30 - 10:00 (2 sata),true,WEEKLY,do 7.6.2024.,250
535331,IP komunikacije,IK,0,Meter Davor,LABORATORIJSKA_VJEZBA,Grupa 1,B526,2024-03-08T08:00,2024-03-08T09:30,petak 8.3.2024. 8:00 - 9:30 (2 sata),true,WEEKLY,do 7.6.2024.,250
532055,Kriptografija i mrežna sigurnost,KIMS,0,Čagalj Mario,PREDAVANJE,,C501,2024-03-11T10:15,2024-03-11T12:00,ponedjeljak 11.3.2024. 10:15 - 12:00 (2 sata),true,WEEKLY,do 9.6.2024.,250
532139,Podržano strojno učenje,PSU,0,Perković Toni,PREDAVANJE,,A243,2024-03-12T08:15,2024-03-12T10:00,utorak 12.3.2024. 8:15 - 10:00 (2 sata),true,WEEKLY,do 9.6.2024.,250
532079,Metode optimizacije,MO,0,Braović Maja,PREDAVANJE,,C502,2024-03-12T10:15,2024-03-12T12:00,utorak 12.3.2024. 10:15 - 12:00 (2 sata),true,WEEKLY,do 9.6.2024.,250
532115,IP komunikacije,IK,0,Russo Mladen,PREDAVANJE,,A105,2024-03-12T12:15,2024-03-12T14:00,utorak 12.3.2024. 12:15 - 14:00 (2 sata),true,WEEKLY,do 9.6.2024.,250
532067,Jezici i prevoditelji,JIP,0,Sikora Marjan,PREDAVANJE,,B401,2024-03-13T08:15,2024-03-13T11:00,srijeda 13.3.2024. 8:15 - 11:00 (3 sata),true,WEEKLY,do 9.6.2024.,250
532091,Napredne računalne arhitekture,NRA,0,Gotovac Sven,PREDAVANJE,,B401,2024-03-13T11:15,2024-03-13T13:00,srijeda 13.3.2024. 11:15 - 13:00 (2 sata),true,WEEKLY,do 9.6.2024.,250
537773,Kriptografija i mrežna sigurnost,KIMS,0,Čagalj Mario,LABORATORIJSKA_VJEZBA,Grupa 4,A507,2024-03-13T13:15,2024-03-13T14:45,srijeda 13.3.2024. 13:15 - 14:45 (2 sata),true,WEEKLY,do 7.6.2024.,250
535590,Jezici i prevoditelji,JIP,0,Sikora Marjan,LABORATORIJSKA_VJEZBA,Grupa 1,B526,2024-03-14T08:30,2024-03-14T10:00,četvrtak 14.3.2024. 8:30 - 10:00 (2 sata),true,WEEKLY,do 7.6.2024.,250
535332,IP komunikacije,IK,0,Meter Davor,LABORATORIJSKA_VJEZBA,Grupa 1,B526,2024-03-15T08:00,2024-03-15T09:30,petak 15.3.2024. 8:00 - 9:30 (2 sata),true,WEEKLY,do 7.6.2024.,250
532056,Kriptografija i mrežna sigurnost,KIMS,0,Čagalj Mario,PREDAVANJE,,C501,2024-03-18T10:15,2024-03-18T12:00,ponedjeljak 18.3.2024. 10:15 - 12:00 (2 sata),true,WEEKLY,do 9.6.2024.,250
534195,Metode optimizacije,MO,0,Bašić Martina,LABORATORIJSKA_VJEZBA,Grupa 1,B420,2024-03-18T18:30,2024-03-18T20:00,ponedjeljak 18.3.2024. 18:30 - 20:00 (2 sata),true,WEEKLY,do 7.6.2024.,250
532140,Podržano strojno učenje,PSU,0,Perković Toni,PREDAVANJE,,A243,2024-03-19T08:15,2024-03-19T10:00,utorak 19.3.2024. 8:15 - 10:00 (2 sata),true,WEEKLY,do 9.6.2024.,250
532080,Metode optimizacije,MO,0,Braović Maja,PREDAVANJE,,C502,2024-03-19T10:15,2024-03-19T12:00,utorak 19.3.2024. 10:15 - 12:00 (2 sata),true,WEEKLY,do 9.6.2024.,250
532116,IP komunikacije,IK,0,Russo Mladen,PREDAVANJE,,A105,2024-03-19T12:15,2024-03-19T14:00,utorak 19.3.2024. 12:15 - 14:00 (2 sata),true,WEEKLY,do 9.6.2024.,250
532068,Jezici i prevoditelji,JIP,0,Sikora Marjan,PREDAVANJE,,B401,2024-03-20T08:15,2024-03-20T11:00,srijeda 20.3.2024. 8:15 - 11:00 (3 sata),true,WEEKLY,do 9.6.2024.,250
532092,Napredne računalne arhitekture,NRA,0,Gotovac Sven,PREDAVANJE,,B401,2024-03-20T11:15,2024-03-20T13:00,srijeda 20.3.2024. 11:15 - 13:00 (2 sata),true,WEEKLY,do 9.6.2024.,250
537774,Kriptografija i mrežna sigurnost,KIMS,0,Čagalj Mario,LABORATORIJSKA_VJEZBA,Grupa 4,A507,2024-03-20T13:15,2024-03-20T14:45,srijeda 20.3.2024. 13:15 - 14:45 (2 sata),true,WEEKLY,do 7.6.2024.,250
535591,Jezici i prevoditelji,JIP,0,Sikora Marjan,LABORATORIJSKA_VJEZBA,Grupa 1,B526,2024-03-21T08:30,2024-03-21T10:00,četvrtak 21.3.2024. 8:30 - 10:00 (2 sata),true,WEEKLY,do 7.6.2024.,250
538454,Podržano strojno učenje,PSU,0,Perković Toni,LABORATORIJSKA_VJEZBA,Grupa 1,A507,2024-03-21T10:00,2024-03-21T12:15,četvrtak 21.3.2024. 10:00 - 12:15 (3 sata),true,WEEKLY,do 18.4.2024.,250
535333,IP komunikacije,IK,0,Meter Davor,LABORATORIJSKA_VJEZBA,Grupa 1,B526,2024-03-22T08:00,2024-03-22T09:30,petak 22.3.2024. 8:00 - 9:30 (2 sata),true,WEEKLY,do 7.6.2024.,250
538287,IP komunikacije,IK,0,Meter Davor,LABORATORIJSKA_VJEZBA,Grupa 1,B526,2024-03-23T08:00,2024-03-23T09:30,subota 23.3.2024. 8:00 - 9:30 (2 sata),false,ONCE,,250
532057,Kriptografija i mrežna sigurnost,KIMS,0,Čagalj Mario,PREDAVANJE,,C501,2024-03-25T10:15,2024-03-25T12:00,ponedjeljak 25.3.2024. 10:15 - 12:00 (2 sata),true,WEEKLY,do 9.6.2024.,250
534196,Metode optimizacije,MO,0,Bašić Martina,LABORATORIJSKA_VJEZBA,Grupa 1,B420,2024-03-25T18:30,2024-03-25T20:00,ponedjeljak 25.3.2024. 18:30 - 20:00 (2 sata),true,WEEKLY,do 7.6.2024.,250
532141,Podržano strojno učenje,PSU,0,Perković Toni,PREDAVANJE,,A243,2024-03-26T08:15,2024-03-26T10:00,utorak 26.3.2024. 8:15 - 10:00 (2 sata),true,WEEKLY,do 9.6.2024.,250
532081,Metode optimizacije,MO,0,Braović Maja,PREDAVANJE,,C502,2024-03-26T10:15,2024-03-26T12:00,utorak 26.3.2024. 10:15 - 12:00 (2 sata),true,WEEKLY,do 9.6.2024.,250
532117,IP komunikacije,IK,0,Russo Mladen,PREDAVANJE,,A105,2024-03-26T12:15,2024-03-26T14:00,utorak 26.3.2024. 12:15 - 14:00 (2 sata),true,WEEKLY,do 9.6.2024.,250
532069,Jezici i prevoditelji,JIP,0,Sikora Marjan,PREDAVANJE,,B401,2024-03-27T08:15,2024-03-27T11:00,srijeda 27.3.2024. 8:15 - 11:00 (3 sata),true,WEEKLY,do 9.6.2024.,250
532093,Napredne računalne arhitekture,NRA,0,Gotovac Sven,PREDAVANJE,,B401,2024-03-27T11:15,2024-03-27T13:00,srijeda 27.3.2024. 11:15 - 13:00 (2 sata),true,WEEKLY,do 9.6.2024.,250
537775,Kriptografija i mrežna sigurnost,KIMS,0,Čagalj Mario,LABORATORIJSKA_VJEZBA,Grupa 4,A507,2024-03-27T13:15,2024-03-27T14:45,srijeda 27.3.2024. 13:15 - 14:45 (2 sata),true,WEEKLY,do 7.6.2024.,250
535592,Jezici i prevoditelji,JIP,0,Sikora Marjan,LABORATORIJSKA_VJEZBA,Grupa 1,B526,2024-03-28T08:30,2024-03-28T10:00,četvrtak 28.3.2024. 8:30 - 10:00 (2 sata),true,WEEKLY,do 7.6.2024.,250
538455,Podržano strojno učenje,PSU,0,Perković Toni,LABORATORIJSKA_VJEZBA,Grupa 1,A507,2024-03-28T10:00,2024-03-28T12:15,četvrtak 28.3.2024. 10:00 - 12:15 (3 sata),true,WEEKLY,do 18.4.2024.,250
532142,Podržano strojno učenje,PSU,0,Perković Toni,PREDAVANJE,,A243,2024-04-02T08:15,2024-04-02T10:00,utorak 2.4.2024. 8:15 - 10:00 (2 sata),true,WEEKLY,do 9.6.2024.,250
532082,Metode optimizacije,MO,0,Braović Maja,PREDAVANJE,,C502,2024-04-02T10:15,2024-04-02T12:00,utorak 2.4.2024. 10:15 - 12:00 (2 sata),true,WEEKLY,do 9.6.2024.,250
532118,IP komunikacije,IK,0,Russo Mladen,PREDAVANJE,,A105,2024-04-02T12:15,2024-04-02T14:00,utorak 2.4.2024. 12:15 - 14:00 (2 sata),true,WEEKLY,do 9.6.2024.,250
532070,Jezici i prevoditelji,JIP,0,Sikora Marjan,PREDAVANJE,,B401,2024-04-03T08:15,2024-04-03T11:00,srijeda 3.4.2024. 8:15 - 11:00 (3 sata),true,WEEKLY,do 9.6.2024.,250
532094,Napredne računalne arhitekture,NRA,0,Gotovac Sven,PREDAVANJE,,B401,2024-04-03T11:15,2024-04-03T13:00,srijeda 3.4.2024. 11:15 - 13:00 (2 sata),true,WEEKLY,do 9.6.2024.,250
537776,Kriptografija i mrežna sigurnost,KIMS,0,Čagalj Mario,LABORATORIJSKA_VJEZBA,Grupa 4,A507,2024-04-03T13:15,2024-04-03T14:45,srijeda 3.4.2024. 13:15 - 14:45 (2 sata),true,WEEKLY,do 7.6.2024.,250
535593,Jezici i prevoditelji,JIP,0,Sikora Marjan,LABORATORIJSKA_VJEZBA,Grupa 1,B526,2024-04-04T08:30,2024-04-04T10:00,četvrtak 4.4.2024. 8:30 - 10:00 (2 sata),true,WEEKLY,do 7.6.2024.,250
538456,Podržano strojno učenje,PSU,0,Perković Toni,LABORATORIJSKA_VJEZBA,Grupa 1,A507,2024-04-04T10:00,2024-04-04T12:15,četvrtak 4.4.2024. 10:00 - 12:15 (3 sata),true,WEEKLY,do 18.4.2024.,250
535334,IP komunikacije,IK,0,Meter Davor,LABORATORIJSKA_VJEZBA,Grupa 1,B526,2024-04-05T08:00,2024-04-05T09:30,petak 5.4.2024. 8:00 - 9:30 (2 sata),true,WEEKLY,do 7.6.2024.,250
532058,Kriptografija i mrežna sigurnost,KIMS,0,Čagalj Mario,PREDAVANJE,,C501,2024-04-08T10:15,2024-04-08T12:00,ponedjeljak 8.4.2024. 10:15 - 12:00 (2 sata),true,WEEKLY,do 9.6.2024.,250
534197,Metode optimizacije,MO,0,Bašić Martina,LABORATORIJSKA_VJEZBA,Grupa 1,B420,2024-04-08T18:30,2024-04-08T20:00,ponedjeljak 8.4.2024. 18:30 - 20:00 (2 sata),true,WEEKLY,do 7.6.2024.,250
532143,Podržano strojno učenje,PSU,0,Perković Toni,PREDAVANJE,,A243,2024-04-09T08:15,2024-04-09T10:00,utorak 9.4.2024. 8:15 - 10:00 (2 sata),true,WEEKLY,do 9.6.2024.,250
532083,Metode optimizacije,MO,0,Braović Maja,PREDAVANJE,,C502,2024-04-09T10:15,2024-04-09T12:00,utorak 9.4.2024. 10:15 - 12:00 (2 sata),true,WEEKLY,do 9.6.2024.,250
532119,IP komunikacije,IK,0,Russo Mladen,PREDAVANJE,,A105,2024-04-09T12:15,2024-04-09T14:00,utorak 9.4.2024. 12:15 - 14:00 (2 sata),true,WEEKLY,do 9.6.2024.,250
