DE 110 24/25

G1, PON, 09:30 - 11:00, B419, 10
G2, PON, 11:00 - 12:30, B419, 10
G3, PON, 12:30 - 14:00, B419, 10
G4, PON, 14:00 - 15:30, B419, 10
G5, PON, 15:30 - 17:00, B419, 10

G6, UTO, 08:30 - 10:00, B419, 10
G7, UTO, 10:00 - 11:30, B419, 10
G8, UTO, 13:00 - 14:30, B419, 10
G9, UTO, 14:30 - 16:00, B419, 10
G10, UTO, 16:00 - 17:30, B419, 10
G11, UTO, 17:30 - 19:00, B419, 10
G12, UTO, 19:00 - 20:30, B419, 10

G13, SRI, 08:00 - 09:30, B419, 10
G14, SRI, 16:00 - 17:30, B419, 10
G15, SRI, 17:30 - 19:00, B419, 10

G16, ČET, 08:00 - 09:30, B419, 10
G17, ČET, 09:30 - 11:00, B419, 10
G18, ČET, 11:00 - 12:30, B419, 10
G19, ČET, 12:30 - 14:00, B419, 10

G20, PET, 08:00 - 09:30, B419, 10
G21, PET, 09:30 - 11:00, B419, 10
G22,    , 00:00 - 00:00, , 0
G23, PET, 15:00 - 16:30, A418, 10
G24, PET, 16:30 - 18:00, A418, 10
